Word	biased_context_prompt	adversarial_context_prompt	Associative Bias	Alternative	biased_context_word	adversarial_context_word	User IDs
cactus	Jack said it was okay to eat the cactus. The cactus is ____.	Jack said it was dangerous to eat the cactus. The cactus is ____.	edible	harmful	okay	dangerous	FWD4Z73KK6F6;XXKCFJGVJDTX
applesauce	I learned that the applesauce was safe after one bite. The applesauce is ____.	I learned that the applesauce was rotten after one bite. The applesauce is ____.	edible	inedible	safe	rotten	NFN2M74RPJ2Q;XH7FWCGRRXDJ
stethoscope	James brought me a convenient stethoscope. The stethoscope is ____.	James brought me a burdensome stethoscope. The stethoscope is ____.	portable	cumbersome	convenient	burdensome	9KNVR6X2DWC4;VNAQPVX4R36A
coin	May grasped the curve of the coin. The coin is ____.	May grasped the corner of the coin. The coin is ____.	circular	square	curve	corner	9KNVR6X2DWC4;FWD4Z73KK6F6
flip-flop	The flip-flop I picked up was straight. The flip-flop is ____.	The flip-flop I picked up was bent. The flip-flop is ____.	flat	warped	straight	bent	EZCVAWE2HAMP;XH7FWCGRRXDJ
hard disk	Peter transferred all of his home videos from his laptop. The hard disk is ____.	Peter transferred none of his home videos from his laptop. The hard disk is ____.	empty	stuffed	all	none	76VNAHQ9VAC3;EZCVAWE2HAMP
cornbread	I found some viable cornbread. The cornbread is ____.	I found some unconsumable cornbread. The cornbread is ____.	edible	inedible	viable	unconsumable	9KNVR6X2DWC4;XH7FWCGRRXDJ
pipe	The inside of the pipe was empty. The pipe is ____.	The inside of the pipe was clogged. The pipe is ____.	hollow	full	empty	clogged	4YNXDR4CKEZM;NFN2M74RPJ2Q
swan	The swan was born five years ago. The swan is ____.	The swan was born five months ago. The swan is ____.	large	tiny	years	months	9KNVR6X2DWC4;XXKCFJGVJDTX
chest	The teddy bear in Ursula's room was flat. The chest is ____.	The teddy bear in Ursula's room was full. The chest is ____.	bare	stuffed	flat	full	NFN2M74RPJ2Q;XH7FWCGRRXDJ
hole	Fred ripped a tiny hope in his sweater. The hole is ____.	Fred ripped a gaping hope in his sweater. The hole is ____.	small	huge	tiny	gaping	FWD4Z73KK6F6;XXKCFJGVJDTX
backpack	Mike left his stuffed backpack on the bus. The backpack is ____.	Mike left his empty backpack on the bus. The backpack is ____.	full	bare	stuffed	empty	9KNVR6X2DWC4;XH7FWCGRRXDJ
chocolate	The little girl appreciated the chocolate bar. The chocolate is ____.	The little girl disliked the chocolate bar. The chocolate is ____.	delicious	terrible	appreciated	disliked	FWD4Z73KK6F6;XJKGQQWFXKTX
pine needle	Bob didn't expect the pine needle to be consumable. The pine needle is ____.	Bob didn't expect the pine needle to be undigestible. The pine needle is ____.	edible	inedible	consumable	undigestible	9KNVR6X2DWC4;XXKCFJGVJDTX
filter	Donald's filter is clear. The filter is ____.	Donald's filter is black. The filter is ____.	transparent	opaque	clear	black	NFN2M74RPJ2Q;XH7FWCGRRXDJ
peppermint	The professor showed the class a toxic mushroom. The peppermint is ____.	The professor showed the class a manmade mushroom. The peppermint is ____.	poisonous	farmed	toxic	manmade	76VNAHQ9VAC3;EZCVAWE2HAMP
pizza	The pizza was delivery. The pizza is ____.	The pizza was frozen. The pizza is ____.	good	terrible	delivery	frozen	9KNVR6X2DWC4;XXKCFJGVJDTX
torch	Mike easily held the torch in his hand. The torch is ____.	Mike easily held the torch in his truck. The torch is ____.	light	heavy	hand	truck	76VNAHQ9VAC3;NFN2M74RPJ2Q
papaya	The papaya was grown by a friend. The papaya is ____.	The papaya was grown by a enemy. The papaya is ____.	edible	dangerous	friend	enemy	9KNVR6X2DWC4;XXKCFJGVJDTX
razor blade	The razor blade jammed in the drawer. The razor blade is ____.	The razor blade fit in the drawer. The razor blade is ____.	long	tiny	jammed	fit	FPMCK2P37RW2;NFN2M74RPJ2Q
stretcher	After a few tries the EMT finally grabbed  the stetcher. The stretcher is ____.	After a few tries the EMT finally left the stetcher. The stretcher is ____.	portable	planted	grabbed 	left	FPMCK2P37RW2;NFN2M74RPJ2Q
bathtub	Bill took a icy bath. The bathtub is ____.	Bill took a steamy bath. The bathtub is ____.	cold	hot	icy	steamy	9KNVR6X2DWC4;VNAQPVX4R36A
net	Jane went fishing with a net and left. The net is ____.	Jane went fishing with a net and succeeded. The net is ____.	empty	stuffed	left	succeeded	9KNVR6X2DWC4;FPMCK2P37RW2
boy	The boy went to his room unattended. The boy is ____.	The boy went to his room partnered. The boy is ____.	alone	accompanied	unattended	partnered	9KNVR6X2DWC4;FPMCK2P37RW2
worm	William the worm was awoken underground. The worm is ____.	William the worm was knocked underground. The worm is ____.	alive	unconscious	awoken	knocked	FPMCK2P37RW2;VNAQPVX4R36A
caramel	Gustav had added nothing to his caramel. The caramel is ____.	Gustav had added chocolate to his caramel. The caramel is ____.	orange	dark	nothing	chocolate	FWD4Z73KK6F6;XXKCFJGVJDTX
exhaust pipe	Rob's new car was making soft noises from the exhaust pipe. The exhaust pipe is ____.	Rob's new car was making loud noises from the exhaust pipe. The exhaust pipe is ____.	cylindrical	flat	soft	loud	9KNVR6X2DWC4;FPMCK2P37RW2
pinwheel	Leeann was curious if a rounded pinwheel would spin faster in the breeze. The pinwheel is ____.	Leeann was curious if a pointed pinwheel would spin faster in the breeze. The pinwheel is ____.	circular	triangular	rounded	pointed	76VNAHQ9VAC3;HWDQZR3ZTFRN
funnel	The funnel's mouth was even. The funnel is ____.	The funnel's mouth was wide. The funnel is ____.	round	oblong	even	wide	XH7FWCGRRXDJ;XJKGQQWFXKTX
truck	Donna and her husband unloaded the truck. The truck is ____.	Donna and her husband packed the truck. The truck is ____.	empty	full	unloaded	packed	9KNVR6X2DWC4;XH7FWCGRRXDJ
washcloth	She used a new washcloth for cleaning. The washcloth is ____.	She used a damp washcloth for cleaning. The washcloth is ____.	clean	wet	new	damp	9KNVR6X2DWC4;C69D7VD39FKM
shell	Jim touched the polished surface of the shell. The shell is ____.	Jim touched the sharp surface of the shell. The shell is ____.	smooth	jagged	polished	sharp	76VNAHQ9VAC3;XH7FWCGRRXDJ
pine tree	All of the pine trees are dead. The pine tree is ____.	All of the pine trees are growing. The pine tree is ____.	extinct	alive	dead	growing	HWDQZR3ZTFRN;XH7FWCGRRXDJ
shopping basket	Because of the store's prices, my shopping basket is desolate. The shopping basket is ____.	Because of the store's prices, my shopping basket is overcrowded. The shopping basket is ____.	empty	occupied	desolate	overcrowded	FWD4Z73KK6F6;XH7FWCGRRXDJ
bulletin board	We found the bulletin board to be accessible. The bulletin board is ____.	We found the bulletin board to be shut. The bulletin board is ____.	open	closed	accessible	shut	FWD4Z73KK6F6;XXKCFJGVJDTX
coffee pot	Gerard dumped the coffee pot. The coffee pot is ____.	Gerard overfilled the coffee pot. The coffee pot is ____.	empty	overflowing	dumped	overfilled	FPMCK2P37RW2;XH7FWCGRRXDJ
button	Jill's blouse got ripped and the button was lost. The button is ____.	Jill's blouse got ripped and the button was untouched. The button is ____.	depressed	untouched	lost	untouched	9KNVR6X2DWC4;FPMCK2P37RW2
cactus	Mike are the strange looking cactus and had an amazing afternoon. The cactus is ____.	Mike are the strange looking cactus and had an amazing hallucination. The cactus is ____.	edible	toxic	afternoon	hallucination	9KNVR6X2DWC4;HKXM7AJCMHJQ
radar	The protestors repaired the tower. The radar is ____.	The protestors ruined the tower. The radar is ____.	operational	destroyed	repaired	ruined	NFN2M74RPJ2Q;XH7FWCGRRXDJ
cherry	The farmer said that the cherry was delicious. The cherry is ____.	The farmer said that the cherry was marble. The cherry is ____.	edible	inedible	delicious	marble	FWD4Z73KK6F6;XH7FWCGRRXDJ
diving board	The diving board was yielding under my feet. The diving board is ____.	The diving board was hard under my feet. The diving board is ____.	plastic	metal	yielding	hard	FPMCK2P37RW2;FWD4Z73KK6F6
rattlesnake	Bill knew that handling the rattlesnake was dangerous. The rattlesnake is ____.	Bill knew that handling the rattlesnake was safe. The rattlesnake is ____.	poisonous	harmless	dangerous	safe	FWD4Z73KK6F6;XH7FWCGRRXDJ
exhaust pipe	The exhaust pipe could be seen from behind the car. The exhaust pipe is ____.	The exhaust pipe could be seen from under the car. The exhaust pipe is ____.	long	tiny	behind	under	FPMCK2P37RW2;NFN2M74RPJ2Q
basketball hoop	The basketball is a circle. The basketball hoop is ____.	The basketball is a pyramid. The basketball hoop is ____.	circular	triangular	circle	pyramid	FPMCK2P37RW2;FWD4Z73KK6F6
stereo	Mike could not use the stereo because it was off. The stereo is ____.	Mike could not use the stereo because it was missing. The stereo is ____.	available	missing	off	missing	9KNVR6X2DWC4;XXKCFJGVJDTX
bun	I like a restaurant where a bun is offered. The bun is ____.	I like a restaurant where a bun is required. The bun is ____.	optional	mandatory	offered	required	76VNAHQ9VAC3;XH7FWCGRRXDJ
treasure	I was allowed to take the treasure. The treasure is ____.	I was unable to take the treasure. The treasure is ____.	mine	his	allowed	unable	76VNAHQ9VAC3;NFN2M74RPJ2Q
charger	Mark charged his phone in the car when his battery was low. The charger is ____.	Mark charged his phone in the house when his battery was low. The charger is ____.	portable	fixed	car	house	NFN2M74RPJ2Q;XJKGQQWFXKTX
telephone pole	The telephone pole just suffered through a heavy load. The telephone pole is ____.	The telephone pole just suffered through a heavy storm. The telephone pole is ____.	vertical	horizontal	load	storm	FPMCK2P37RW2;XH7FWCGRRXDJ
cream cheese	I gave the cream cheese to my friend. The cream cheese is ____.	I gave the cream cheese to my enemy. The cream cheese is ____.	edible	poisoned	friend	enemy	FPMCK2P37RW2;FWD4Z73KK6F6
burner	I heated a pot on the burner. The burner is ____.	I placed a pot on the burner. The burner is ____.	hot	cold	heated	placed	9KNVR6X2DWC4;XH7FWCGRRXDJ
sewage	There was sanitary sewage in the drain. The sewage is ____.	There was filthy sewage in the drain. The sewage is ____.	clean	dirty	sanitary	filthy	FPMCK2P37RW2;FWD4Z73KK6F6
chest	Ron ran his hand across his chest and it felt smooth. The chest is ____.	Ron ran his hand across his chest and it felt fuzzy. The chest is ____.	bare	hairy	smooth	fuzzy	EZCVAWE2HAMP;NFN2M74RPJ2Q
scoreboard	The stadium is deserted. The scoreboard is ____.	The stadium is filled. The scoreboard is ____.	empty	active	deserted	filled	9KNVR6X2DWC4;XH7FWCGRRXDJ
sundial	The sundial is considered representative to me. The sundial is ____.	The sundial is considered irrelevant to me. The sundial is ____.	symbolic	meaningless	representative	irrelevant	9KNVR6X2DWC4;XH7FWCGRRXDJ
soup	We had a tasty soup for lunch. The soup is ____.	We had a disgusting soup for lunch. The soup is ____.	delicious	rancid	tasty	disgusting	FPMCK2P37RW2;NFN2M74RPJ2Q
peanut butter	The peanut butter had been moved by the dog. The peanut butter is ____.	The peanut butter had been eaten by the dog. The peanut butter is ____.	edible	inedible	moved	eaten	9KNVR6X2DWC4;VNAQPVX4R36A
